threshold,executionTime
0,61.7
1,46.65
2,23.59
3,23.14
4,16.19
5,17.14
6,17.3
7,13.35
8,13.39
9,14.28
10,13.86
11,14.92
12,13.2
13,11.86
14,12.1
15,12.41
16,12.21
17,12.39
18,12.82
19,15.98
20,12.77
21,12.69
22,11.99
23,12.15
24,14.19
25,15.26
26,16.45
27,14.58
28,11.19
29,11.24
30,11.42
31,11.3
32,11.76
33,13.6
34,11.8
35,11.62
36,11.19
37,11.42
38,11.2
39,11.41
40,11.48
41,11.07
42,10.85
43,11.34
44,10.88
45,11.2
46,10.86
47,11.3
48,11.41
49,11.32
50,10.43
51,10.48
52,9.92
53,10.24
54,10.45
55,10.27
56,10.16
57,10.53
58,10.61
59,10.63
60,11.01
61,10.17
62,10.47
63,10.1
64,10.34
65,10.48
66,10.85
67,10.29
68,10.13
69,10.54
70,10.38
71,10.65
72,10.19
73,10.58
74,10.6
75,10.56
76,10.32
77,10.32
78,10.52
79,10.76
80,10.61
81,10.76
82,10.78
83,12
84,10.51
85,10.6
86,10.36
87,10.69
88,10.37
89,11.32
90,10.26
91,10.4
92,10.07
93,10.36
94,10.95
95,10.37
96,10.23
97,10.77
98,10.92
99,10.89
100,10.66
101,10.04
102,11.46
103,10.44
104,10.47
105,10.13
106,10.08
107,11.04
108,11.01
109,10.5
110,10.58
111,10.43
112,10.16
113,10.1
114,10.49
115,10.81
116,10.32
117,10.91
118,10.25
119,10.24
120,10.65
121,10.41
122,10.43
123,10.18
124,10.78
125,10.09
126,10.69
127,10.66
128,10.19
129,10.45
130,10.28
131,10.28
132,10.69
133,10.38
134,10.88
135,10.4
136,10.18
137,10.77
138,10.23
139,10.15
140,10.37
141,10.47
142,10.35
143,10.66
144,10.31
145,10.31
146,10.17
147,10.47
148,10.3
149,10.6
150,10.5
151,10.35
152,10.71
153,10.45
154,9.82
155,10.52
156,9.94
157,10.59
158,10.65
159,10.36
160,10.96
161,10.24
162,10.11
163,10.47
164,10.11
165,10.49
166,10.74
167,10.45
168,10.41
169,10.32
170,10.23
171,10.28
172,10.33
173,10.14
174,10.65
175,10.31
176,10.24
177,11.17
178,10.13
179,10.3
180,10.28
181,10.56
182,10.7
183,10.6
184,10.4
185,10
186,11.34
187,10.27
188,10.93
189,10.68
190,10.07
191,11.2
192,11.61
193,11.33
194,12.3
195,11.23
196,11.01
197,11.37
198,11.7
199,11.29
200,11.74
201,11.08
202,11.73
203,11.14
204,11.07
205,11.22
206,11.8
207,11.22
208,11.16
209,10.85
210,11.46
211,11.1
212,11.24
213,11.44
214,11.73
215,11.29
216,11.18
217,10.92
218,12.46
219,10.92
220,11.14
221,12.89
222,11.32
223,11.58
224,11.29
225,10.97
226,12.07
227,11.92
228,12.54
229,12.6
230,12.43
231,12.34
232,11.55
233,11.78
234,11.13
235,10.79
236,11.62
237,11.58
238,11.33
239,11.16
240,11.09
241,11.71
242,11.03
243,10.96
244,11.46
245,11.64
246,11.27
247,11.13
248,11.37
249,12.02
250,11.23
251,11.07
252,11.37
253,11.61
254,11.13
255,11.19
256,11.35
257,11.67
258,11.25
259,11.13
260,11.58
261,11.27
262,11.46
263,10.98
264,11.01
265,12.35
266,10.52
267,11.26
268,11.43
269,11.05
270,11.65
271,11.38
272,10.95
273,11.62
274,11.11
275,11.3
276,11.39
277,11.29
278,11.16
279,11.29
280,11.21
281,11.71
282,11.09
283,11.17
284,11.75
285,11.11
286,11.02
287,11.19
288,11.02
289,12.12
290,11.19
291,11.21
292,11.86
293,11.43
294,11.23
295,11.31
296,11.12
297,11.7
298,11.19
299,11.37
300,11.44
301,11.19
302,11.17
303,11.07
304,11.15
305,11.08
306,11.13
307,11.19
308,12.4
309,11.33
310,11.28
311,11.16
312,11.37
313,11.56
314,11.1
315,11.37
316,11.46
317,11.41
318,11.48
319,10.98
320,11.59
321,11.48
322,10.75
323,11.59
324,11.44
325,11.61
326,11.37
327,11.25
328,11.24
329,11.28
330,10.57
331,11.86
332,11.33
333,11.2
334,11.26
335,11.05
336,11.87
337,11.27
338,10.78
339,11.44
340,11.7
341,11.26
342,11.31
343,11.5
344,11.7
345,11.18
346,11.09
347,11.16
348,11.29
349,11.2
350,11.17
351,10.96
352,11.75
353,11.18
354,11.21
355,11.03
356,11.37
357,11
358,11.15
359,11.14
360,11.77
361,10.96
362,11.15
363,11.08
364,11.35
365,11.1
366,10.9
367,10.99
368,11.11
369,10.93
370,11.55
371,10.84
372,11.28
373,11.03
374,11.12
375,10.97
376,12.01
377,10.95
378,11.21
379,11.18
380,11.24
381,11.24
382,11.21
383,11.01
384,11.3
385,11.48
386,11.04
387,11.02
388,10.83
389,11.01
390,10.93
391,10.78
392,11.81
393,10.86
394,11.04
395,10.85
396,11.05
397,11.69
398,10.73
399,10.84
400,10.74
401,10.83
402,10.86
403,10.99
404,10.91
405,11.58
406,10.79
407,11.14
408,10.89
409,11.1
410,10.91
411,10.81
412,10.83
413,11.29
414,10.73
415,11.56
416,11.04
417,11.13
418,11.11
419,11
420,11.11
421,10.75
422,11.08
423,10.92
424,11.12
425,12.2
426,10.83
427,10.99
428,10.62
429,10.72
430,10.96
431,10.84
432,11.04
433,11.5
434,10.56
435,11.15
436,10.9
437,10.67
438,11.44
439,10.86
440,10.84
441,11.43
442,10.95
443,10.84
444,11.04
445,10.86
446,11.2
447,11.03
448,12.88
449,12.96
450,11.46
451,10.46
452,10.73
453,11.09
454,11.04
455,12.41
456,11.05
457,12.07
458,10.78
459,10.79
460,11.08
461,11.12
462,11.24
463,10.88
464,11.31
465,11.28
466,10.71
467,11.16
468,10.66
469,10.66
470,11.17
471,10.77
472,10.8
473,11.32
474,10.86
475,10.69
476,10.78
477,11.25
478,11.03
479,10.87
480,10.99
481,10.88
482,10.74
483,10.77
484,10.84
485,11.23
486,10.9
487,11.08
488,10.46
489,11.27
490,11.27
491,11.42
492,10.89
493,11.13
494,10.78
495,10.89
496,10.98
497,11.09
498,11.31
499,10.78
500,10.7
501,10.57
502,11.07
503,10.91
504,10.92
505,11.07
506,11.32
507,10.65
508,10.96
509,10.5
510,10.76
511,11.36
512,10.83
513,11.13
514,11.19
515,11
516,10.91
517,11.02
518,10.56
519,10.68
520,11.1
521,11.27
522,10.78
523,10.61
524,11.07
525,11.27
526,10.65
527,10.75
528,10.61
529,11.58
530,11.03
531,11.19
532,10.8
533,10.76
534,11.09
535,11.06
536,10.91
537,10.86
538,10.59
539,11.3
540,10.83
541,10.8
542,10.79
543,10.84
544,11.31
545,11
546,10.9
547,11.03
548,10.97
549,10.85
550,10.91
551,10.5
552,11.05
553,10.96
554,10.87
555,11.01
556,10.59
557,10.76
558,10.88
559,10.56
560,11.04
561,10.99
562,11.08
563,10.86
564,10.79
565,10.78
566,10.88
567,10.85
568,11.09
569,11.03
570,11.32
571,13.16
572,13.63
573,13.26
574,12.66
575,13.19
576,15.62
577,15.28
578,13.18
579,11.59
580,10.83
581,10.78
582,11.25
583,11.2
584,11.18
585,10.99
586,11.9
587,12.5
588,12.22
589,12.69
590,12.81
591,12.96
592,12.22
593,12.15
594,11.23
595,10.57
596,10.82
597,10.64
598,11.31
599,10.79
600,10.97
601,10.97
602,11.04
603,10.83
604,10.75
605,10.89
606,10.91
607,11.48
608,10.8
609,10.89
610,10.7
611,10.86
612,10.67
613,11.02
614,11.11
615,11.24
616,10.81
617,10.85
618,11.12
619,10.55
620,10.57
621,11.05
622,11.22
623,11.87
624,10.72
625,11.17
626,10.99
627,10.6
628,10.88
629,10.87
630,11.28
631,11.22
632,10.95
633,10.66
634,10.57
635,10.92
636,10.78
637,10.62
638,10.96
639,11.26
640,11
641,10.65
642,10.72
643,10.63
644,10.87
645,10.87
646,10.66
647,11.52
