threshold,executionTime
0, 54.44
1, 40.15
2, 29.93
3, 29.59
4, 27.14
5, 27.53
6, 27.4
7, 27.41
8, 25.58
9, 25.58
10, 26.11
11, 26
12, 25.7
13, 25.24
14, 25.45
15, 26
16, 26.04
17, 25.12
18, 24.87
19, 25.76
20, 25.97
21, 25.59
22, 25.97
23, 25.77
24, 26.24
25, 24.73
26, 24.96
27, 25.45
28, 24.91
29, 25.17
30, 24.81
31, 24.97
32, 24.99
33, 24.87
34, 24.98
35, 24.89
36, 26.18
37, 25.44
38, 24.9
39, 24.61
40, 24.75
41, 25.17
42, 25.33
43, 24.73
44, 25.61
45, 25.24
46, 25.67
47, 25.14
48, 24.85
49, 24.93
50, 24.92
51, 25.05
52, 24.98
53, 24.64
54, 24.78
55, 24.72
56, 24.96
57, 24.9
58, 24.9
59, 24.53
60, 25.22
61, 24.5
62, 24.79
63, 24.42
64, 24.79
65, 24.76
66, 24.75
67, 24.69
68, 24.87
69, 25.49
70, 24.73
71, 24.69
72, 24.46
73, 24.54
74, 25.07
75, 24.82
76, 24.45
77, 24.93
78, 24.8
79, 24.95
80, 25.66
81, 24.71
82, 24.63
83, 25.25
84, 24.93
85, 24.8
86, 24.69
87, 24.96
88, 25.13
89, 24.73
90, 24.62
91, 24.5
92, 25.26
93, 24.99
94, 24.51
95, 24.51
96, 24.79
97, 25.13
98, 25.11
99, 24.56
100, 24.69
101, 25.08
102, 24.92
103, 24.58
104, 25
105, 24.57
106, 25.35
107, 26.38
108, 24.55
109, 24.82
110, 24.98
111, 24.71
112, 24.53
113, 24.56
114, 24.61
115, 25.34
116, 24.7
117, 24.62
118, 24.7
119, 24.58
120, 25.13
121, 25.06
122, 24.64
123, 24.75
124, 24.65
125, 24.8
126, 24.5
127, 24.59
128, 24.62
129, 25.17
130, 24.8
131, 24.63
132, 24.69
133, 24.86
134, 24.52
135, 24.73
136, 24.74
137, 24.43
138, 25.02
139, 24.68
140, 24.66
141, 24.97
142, 24.49
143, 24.83
144, 24.91
145, 24.49
146, 24.59
147, 25
148, 24.7
149, 24.6
150, 24.73
151, 24.56
152, 24.79
153, 24.64
154, 24.59
155, 24.65
156, 24.88
157, 24.59
158, 24.39
159, 24.71
160, 24.73
161, 24.94
162, 24.52
163, 25.16
164, 24.67
165, 24.46
166, 25.23
167, 24.59
168, 24.4
169, 24.67
170, 24.66
171, 24.73
172, 26.42
173, 24.42
174, 25.22
175, 24.83
176, 24.74
177, 24.63
178, 24.69
179, 24.89
180, 24.46
181, 24.34
182, 24.91
183, 24.71
184, 25.33
185, 25.89
186, 24.93
187, 24.69
188, 24.88
189, 24.87
190, 24.88
191, 24.59
192, 24.71
193, 24.75
194, 24.66
195, 24.76
196, 26.19
197, 25.09
198, 24.59
199, 24.53
200, 24.49
201, 24.92
202, 24.81
203, 24.42
204, 25.38
205, 24.53
206, 24.79
207, 25.17
208, 24.71
209, 24.28
210, 24.96
211, 24.83
212, 24.68
213, 24.94
214, 24.66
215, 24.5
216, 24.76
217, 24.65
218, 24.59
219, 24.37
220, 24.47
221, 24.81
222, 24.57
223, 26.15
224, 24.64
225, 24.8
226, 24.95
227, 24.28
228, 24.51
229, 24.64
230, 25.43
231, 24.62
232, 24.36
233, 24.61
234, 24.57
235, 24.68
236, 24.44
237, 24.53
238, 24.59
239, 24.52
240, 24.97
241, 24.79
242, 24.38
243, 26.42
244, 24.92
245, 24.71
246, 24.29
247, 24.4
248, 25.07
249, 24.69
250, 24.26
251, 24.44
252, 24.54
253, 25.18
254, 24.42
255, 24.43
256, 24.46
257, 24.62
258, 25.34
259, 24.89
260, 24.4
261, 24.25
262, 25.21
263, 24.72
264, 24.63
265, 24.43
266, 24.39
267, 24.98
268, 25.1
269, 24.58
270, 24.47
271, 24.32
272, 24.89
273, 24.5
274, 24.45
275, 24.82
276, 26.02
277, 24.52
278, 24.62
279, 24.61
280, 24.81
281, 25.07
282, 24.51
283, 24.7
284, 24.5
285, 24.82
286, 24.42
287, 24.72
288, 24.61
289, 24.41
290, 24.82
291, 24.37
292, 24.52
293, 24.42
294, 24.41
295, 25.59
296, 24.58
297, 24.58
298, 24.97
299, 24.75
300, 25.13
301, 24.39
302, 24.45
303, 24.55
304, 25.06
305, 24.55
306, 24.39
307, 24.62
308, 25.55
309, 24.69
310, 24.54
311, 24.63
312, 24.49
313, 24.87
314, 25.24
315, 24.71
316, 24.39
317, 24.7
318, 25.24
319, 24.52
320, 24.61
321, 24.45
322, 25.12
323, 25.24
324, 24.56
325, 24.56
326, 24.66
327, 25.32
328, 25.22
329, 25.67
330, 25.02
331, 25.15
332, 25.95
333, 25.59
334, 25.37
335, 25.07
336, 25.48
337, 24.8
338, 25.5
339, 24.82
340, 24.78
341, 25.26
342, 24.39
343, 24.48
344, 24.26
345, 25.01
346, 24.71
347, 24.55
348, 24.53
349, 24.61
350, 24.86
351, 24.68
352, 24.67
353, 24.29
354, 24.49
355, 24.86
356, 24.49
357, 24.74
358, 24.56
359, 24.96
360, 24.94
361, 25.12
362, 24.5
363, 24.64
364, 25.13
365, 24.51
366, 24.52
367, 24.55
368, 25.35
369, 24.79
370, 24.53
371, 24.41
372, 24.42
373, 25.19
374, 25.14
375, 24.61
376, 24.85
377, 24.42
378, 25.58
379, 25.74
380, 25.62
381, 24.41
382, 25.23
383, 24.7
384, 24.55
385, 24.66
386, 24.68
387, 24.83
388, 24.51
389, 25.98
390, 25.34
391, 26.47
392, 24.5
393, 24.94
394, 24.7
395, 24.7
396, 24.62
397, 24.78
398, 24.84
399, 24.76
400, 24.79
401, 24.52
402, 24.62
403, 24.39
404, 24.64
405, 24.68
406, 24.53
407, 24.56
408, 24.51
409, 25.16
410, 24.6
411, 24.32
412, 25.42
413, 24.39
414, 24.98
415, 24.58
416, 24.2
417, 24.54
418, 24.91
419, 24.49
420, 24.91
421, 24.42
422, 24.41
423, 24.2
424, 24.55
425, 24.5
426, 24.41
427, 24.21
428, 24.85
429, 24.69
430, 24.33
431, 24.35
432, 24.53
433, 24.76
434, 24.56
435, 24.29
436, 24.47
437, 25.02
438, 24.18
439, 24.23
440, 24.49
441, 24.64
442, 25.01
443, 24.3
444, 24.21
445, 24.79
446, 24.34
447, 25.28
448, 24.52
449, 24.41
450, 24.63
451, 24.68
452, 24.51
453, 25.58
454, 24.37
455, 24.5
456, 24.8
457, 24.36
458, 24.35
459, 24.48
460, 26.37
461, 25.27
462, 26.06
463, 25.76
464, 26.43
465, 35.14
466, 32.13
467, 32.88
468, 26.24
469, 27.28
470, 24.93
471, 24.43
472, 24.39
473, 25.07
474, 25.15
475, 24.5
476, 24.55
477, 25.3
478, 25.06
479, 24.59
480, 24.51
481, 29.04
482, 25.06
483, 24.67
484, 24.58
485, 24.56
486, 25.19
487, 24.54
488, 24.16
489, 24.6
490, 24.52
491, 24.95
492, 25.31
493, 24.25
494, 29.47
495, 26.61
496, 27.15
497, 35.74
498, 29.17
499, 26.82
500, 25.3
501, 27.23
502, 30.31
503, 28.3
504, 25.82
505, 25.01
506, 25.33
507, 25.19
508, 24.97
509, 24.38
510, 24.28
511, 24.39
512, 24.94
513, 24.53
514, 24.6
515, 24.68
516, 24.88
517, 24.73
518, 24.47
519, 24.69
520, 24.65
521, 24.62
522, 26.76
523, 28.77
524, 28.16
525, 27.24
526, 27.95
527, 27.14
528, 27.27
529, 26.55
530, 27.24
531, 25.03
532, 24.7
533, 25.17
534, 27.09
535, 26.77
536, 26.12
537, 25.99
538, 26.86
539, 27.79
540, 25.41
541, 27.03
542, 28.52
543, 27.74
544, 27.75
545, 29.17
546, 25.41
547, 25.67
548, 24.69
549, 25.96
550, 26.71
551, 26.82
552, 25.51
553, 26.34
554, 25.44
555, 26.24
556, 26.91
557, 26.88
558, 25.45
559, 26.07
560, 26.92
561, 25.13
562, 27.49
563, 26.68
564, 25.9
565, 26.29
566, 24.56
567, 25.29
568, 25.57
569, 24.68
570, 24.82
571, 24.73
572, 30.03
573, 31.12
574, 26.95
575, 27.29
576, 27.06
577, 28.8
578, 25.15
579, 26.83
580, 27.03
581, 26.96
582, 24.48
583, 24.94
584, 26.01
585, 27.36
586, 25.33
587, 25.07
588, 24.63
589, 25.07
590, 25.15
591, 24.96
592, 24.63
593, 26.28
594, 25.16
595, 25.27
596, 25.14
597, 24.93
598, 26.14
599, 28.62
600, 25.47
601, 26.09
602, 24.82
603, 24.97
604, 25.21
605, 25.36
606, 25.15
607, 25.73
608, 24.79
609, 24.88
610, 24.5
611, 24.68
612, 25.2
613, 24.84
614, 24.69
615, 24.35
616, 25.85
617, 27.6
618, 25.46
619, 25.64
620, 27.11
621, 27.1
622, 26.6
623, 26.29
624, 26.4
625, 26.46
626, 29.28
627, 26.28
628, 25.91
629, 26.75
630, 25.09
631, 24.79
632, 24.5
633, 25.37
634, 25.96
635, 26.08
636, 26.35
637, 24.75
638, 24.78
639, 27.19
640, 24.76
641, 24.57
642, 26.17
643, 26.57
644, 27.16
645, 26.05
646, 27.26
647, 27.25
648, 26.9
649, 26.14
650, 25.63
651, 25.19
652, 26.53
653, 25.99
654, 25.79
655, 27.22
656, 26.98
657, 27.1
658, 26.3
659, 27.47
660, 27.99
661, 26.69
662, 26.72
663, 26.06
664, 27.73
665, 27
666, 26.39
667, 26.15
668, 26.92
669, 26.39
670, 26.11
671, 27.37
672, 28.14
673, 26.98
674, 26.15
675, 26.99
676, 25.58
677, 26.22
678, 24.99
679, 26.32
680, 26.44
681, 25.01
682, 25.35
683, 26.57
684, 25.6
685, 25.59
686, 26.96
687, 26.64
688, 26.73
689, 26.73
690, 26.48
691, 25.85
692, 26.09
693, 25.81
694, 27.23
695, 26.93
696, 27.74
697, 28.57
698, 27.83
699, 26.28
700, 26.63
701, 26.45
702, 26.45
703, 27.01
704, 25.3
705, 26.37
706, 26.19
707, 26.87
708, 26.46
709, 26.49
710, 25.17
711, 24.72
712, 25.04
713, 25.2
714, 24.54
715, 24.55
716, 25.3
717, 24.72
718, 24.62
719, 24.61
720, 24.64
721, 24.73
722, 24.81
723, 24.42
724, 25.13
725, 25.1
726, 24.78
727, 24.54
728, 24.7
729, 24.38
730, 25.04
731, 24.74
732, 24.4
733, 24.78
734, 25.65
735, 25.41
736, 24.84
737, 24.59
738, 24.54
739, 24.82
740, 24.96
741, 24.61
742, 24.59
743, 24.51
744, 25.49
745, 24.66
746, 24.51
747, 25.38
748, 26.19
749, 24.84
750, 24.47
751, 24.71
752, 24.71
753, 24.66
754, 24.9
755, 24.72
756, 24.7
757, 26.08
758, 26.58
759, 27.49
760, 27.59
761, 29.47
762, 26.46
763, 25.51
764, 26.98
765, 24.79
766, 27.53
767, 26.14
768, 25.16
769, 27.02
770, 27.3
771, 25.41
772, 25.44
773, 24.66
774, 26.59
775, 24.91
776, 26.98
777, 26.93
778, 26.37
779, 26.32
780, 28
781, 26.92
782, 26.26
783, 29.47
784, 26.55
785, 26.31
786, 25.71
