threshold,executionTime
0, 11.58
1, 10.55
2, 8.83
3, 8.33
4, 8.12
5, 8.19
6, 7.97
7, 8.06
8, 8.08
9, 8.11
10, 7.93
11, 7.84
12, 7.93
13, 7.92
14, 7.9
15, 7.82
16, 7.84
17, 7.88
18, 7.75
19, 7.85
20, 7.78
21, 7.79
22, 7.68
23, 7.7
24, 7.68
25, 7.53
26, 7.61
27, 7.7
28, 7.59
29, 7.53
30, 7.83
31, 7.89
32, 7.68
33, 7.5
34, 7.55
35, 7.58
36, 7.54
37, 7.55
38, 7.57
39, 7.54
40, 7.49
41, 7.55
42, 7.58
43, 7.56
44, 7.99
45, 7.6
46, 7.52
47, 7.5
48, 7.57
49, 7.53
50, 7.43
51, 7.52
52, 7.63
53, 7.53
54, 7.56
55, 7.62
56, 7.65
57, 7.49
58, 7.72
59, 7.63
60, 7.5
61, 7.47
62, 7.62
63, 7.58
64, 7.49
65, 7.51
66, 7.53
67, 7.64
68, 7.48
69, 7.5
70, 7.62
71, 7.41
72, 7.51
73, 7.61
74, 7.57
75, 7.41
76, 7.56
77, 7.52
78, 7.46
79, 7.58
80, 7.48
81, 7.55
82, 7.43
83, 7.47
84, 7.55
85, 7.49
86, 7.48
87, 7.47
88, 7.52
89, 7.42
90, 7.51
91, 7.59
92, 7.47
93, 7.52
94, 7.64
95, 7.54
96, 7.53
97, 7.5
98, 7.44
99, 7.52
100, 7.58
101, 7.48
102, 7.57
103, 8.13
104, 7.47
105, 7.56
106, 7.41
107, 7.68
108, 7.91
109, 7.44
110, 7.45
111, 7.5
112, 7.53
113, 7.46
114, 7.57
115, 7.49
116, 7.44
117, 7.51
118, 7.49
119, 7.52
120, 7.44
121, 7.49
122, 7.47
123, 7.38
124, 7.44
125, 7.61
126, 7.4
127, 7.49
128, 7.43
129, 7.62
130, 7.34
131, 7.39
132, 7.51
133, 7.46
134, 7.59
135, 7.47
136, 7.53
137, 7.39
138, 7.43
139, 7.51
140, 7.37
141, 7.45
142, 7.5
143, 7.44
144, 7.44
145, 7.54
146, 7.54
147, 7.49
148, 7.7
149, 7.54
150, 7.61
151, 7.38
152, 7.57
153, 7.53
154, 7.36
155, 7.44
156, 7.53
157, 7.45
158, 7.49
159, 7.64
160, 7.46
161, 7.4
162, 7.51
163, 7.46
164, 7.43
165, 7.48
166, 7.46
167, 7.41
168, 7.42
169, 7.47
170, 7.62
171, 7.4
172, 7.44
173, 7.47
174, 7.34
175, 7.4
176, 7.5
177, 7.49
178, 7.43
179, 7.45
180, 7.47
181, 7.41
182, 7.62
183, 7.5
184, 7.5
185, 7.37
186, 7.5
187, 7.43
188, 7.45
189, 7.43
190, 7.49
191, 7.45
192, 7.4
193, 7.71
194, 7.45
195, 7.39
196, 7.44
197, 7.49
198, 7.4
199, 7.58
200, 7.47
201, 7.45
202, 7.43
203, 7.49
204, 7.5
205, 7.41
206, 7.47
207, 7.41
208, 7.42
209, 7.5
210, 7.48
211, 7.56
212, 7.38
213, 7.46
214, 7.5
215, 7.44
216, 7.42
217, 7.42
218, 7.42
219, 7.39
220, 7.44
221, 7.45
222, 7.36
223, 7.43
224, 7.42
225, 7.51
226, 7.43
227, 7.43
228, 7.59
229, 7.42
230, 7.42
231, 7.45
232, 7.4
233, 7.42
234, 7.47
235, 7.43
236, 7.43
237, 7.49
238, 7.45
239, 7.48
240, 7.44
241, 7.51
242, 7.4
243, 7.39
244, 7.5
245, 7.43
246, 7.37
247, 7.38
248, 7.41
249, 7.44
250, 7.48
251, 7.46
252, 7.39
253, 7.44
254, 7.42
255, 7.53
256, 7.41
257, 7.46
258, 7.42
259, 7.39
260, 7.45
261, 7.54
262, 7.54
263, 7.35
264, 7.43
265, 7.4
266, 7.42
267, 7.48
268, 7.49
269, 7.4
270, 7.6
271, 7.52
272, 7.45
273, 7.4
274, 7.5
275, 7.46
276, 7.45
277, 7.44
278, 7.47
279, 7.4
280, 7.52
281, 7.39
282, 7.42
283, 7.4
284, 7.41
285, 7.6
286, 7.36
287, 7.45
288, 7.71
289, 7.5
290, 7.56
291, 7.54
292, 7.48
293, 7.39
294, 7.43
295, 7.47
296, 7.43
297, 7.45
298, 7.49
299, 7.45
300, 7.43
301, 7.5
302, 7.44
303, 7.46
304, 7.43
305, 7.43
306, 7.46
307, 7.35
308, 7.49
309, 7.43
310, 7.41
311, 7.5
312, 7.48
313, 7.42
314, 7.35
315, 7.42
316, 7.53
317, 7.54
318, 7.45
319, 7.66
320, 7.44
321, 7.41
322, 7.51
323, 7.76
324, 7.41
325, 7.43
326, 7.37
327, 7.46
328, 7.42
329, 7.42
330, 7.44
331, 7.41
332, 7.42
333, 7.48
334, 7.35
335, 7.45
336, 7.44
337, 7.35
338, 7.55
339, 7.59
340, 7.43
341, 7.37
342, 7.57
343, 7.43
344, 7.47
345, 7.39
346, 7.44
347, 7.39
348, 7.41
349, 7.47
350, 7.51
351, 7.39
352, 7.39
353, 7.43
354, 7.61
355, 7.4
356, 7.51
357, 7.49
358, 7.45
359, 7.48
360, 7.4
361, 7.41
362, 7.41
363, 7.42
364, 7.5
365, 7.45
366, 7.41
367, 7.49
368, 7.43
369, 7.43
370, 7.51
371, 7.36
372, 7.41
373, 7.8
374, 7.63
375, 7.48
376, 7.52
377, 7.46
378, 7.36
379, 7.47
380, 7.47
