threshold,executionTime
0,30.37
1,21.26
2,12.61
3,9.88
4,8.19
5,6.81
6,6.41
7,5.72
8,5.05
9,4.74
10,4.31
11,4.1
12,3.94
13,3.66
14,3.66
15,3.48
16,3.26
17,3.2
18,3.11
19,3.16
20,3.03
21,2.67
22,2.8
23,2.94
24,2.82
25,2.71
26,2.59
27,2.73
28,2.58
29,2.49
30,2.4
31,2.63
32,2.58
33,2.38
34,2.24
35,2.17
36,2.11
37,2.15
38,2.16
39,2.24
40,2.22
41,2.11
42,2.32
43,2.13
44,2.22
45,2.07
46,2.29
47,2.15
48,1.99
49,2.07
50,2.09
51,1.97
52,1.88
53,2.07
54,1.93
55,1.97
56,2.03
57,2.01
58,1.89
59,2.01
60,1.98
61,1.9
62,1.97
63,2.03
64,2
65,2.01
66,1.99
67,2.1
68,1.98
69,2.05
70,1.98
71,2.2
72,1.94
73,1.83
74,1.86
75,1.88
76,1.78
77,1.81
78,1.93
79,1.95
80,1.8
81,1.79
82,1.85
83,1.89
84,1.79
85,1.8
86,1.84
87,1.82
88,1.76
89,1.8
90,1.86
91,1.76
92,1.76
93,1.74
94,1.88
95,1.83
96,1.84
97,1.89
98,2.08
99,1.75
100,1.72
101,1.77
102,1.88
103,1.7
104,1.77
105,1.88
106,1.78
107,1.81
108,1.83
109,1.8
110,1.8
111,1.82
112,1.76
113,1.78
114,1.73
115,1.72
116,1.72
117,1.75
118,1.77
119,1.81
120,1.74
121,1.79
122,1.89
123,1.8
124,1.73
125,1.92
126,1.71
127,1.92
128,1.8
129,1.79
130,1.86
131,1.9
132,1.71
133,1.93
134,1.86
135,1.94
136,1.87
137,1.96
138,1.83
139,1.89
140,1.81
141,1.9
142,1.96
143,1.67
144,1.67
145,1.72
146,1.66
147,1.7
148,1.72
149,1.63
150,1.7
151,1.66
152,1.71
153,1.69
154,1.68
155,1.71
156,1.75
157,1.65
158,1.64
159,1.66
160,1.74
161,1.68
162,1.65
163,1.7
164,1.71
165,1.68
166,1.73
167,1.67
168,1.68
169,1.7
170,1.67
171,1.72
172,1.77
173,1.66
174,1.68
175,1.66
176,1.76
177,1.68
178,1.66
179,1.67
180,1.76
181,1.69
182,1.72
183,1.62
184,1.73
185,1.62
186,1.62
187,1.71
188,1.65
189,1.6
190,1.77
191,1.69
192,1.83
193,1.72
194,1.67
195,1.71
196,1.69
197,1.7
198,1.62
199,1.71
200,1.76
201,1.64
202,1.74
203,1.65
204,1.78
205,1.73
206,1.64
207,1.64
208,1.72
209,1.64
210,1.64
211,1.65
212,1.78
213,1.63
214,1.71
215,1.66
216,1.71
217,1.63
218,1.66
219,1.68
220,1.79
221,1.64
222,1.68
223,1.67
224,1.71
225,1.67
226,1.65
227,1.62
228,1.61
229,1.64
230,1.65
231,1.66
232,1.69
233,1.63
234,1.64
235,1.66
236,1.75
237,1.68
238,1.65
239,1.7
240,1.72
241,1.66
242,1.67
243,1.61
244,1.73
245,1.62
246,1.66
247,1.77
248,1.71
249,1.61
250,1.64
251,1.71
252,1.69
253,1.72
254,1.71
255,1.71
256,1.75
257,1.66
258,1.73
259,1.61
260,1.78
261,1.63
262,1.62
263,1.64
264,1.73
265,1.65
266,1.73
267,1.61
268,1.86
269,1.59
270,1.69
271,1.77
272,1.75
273,1.61
274,1.61
275,1.64
276,1.73
277,1.61
278,1.63
279,1.64
280,1.77
281,1.66
282,1.69
283,1.62
284,1.69
285,1.77
286,1.64
287,1.66
288,1.69
289,1.61
290,1.63
291,1.65
292,1.63
293,1.79
294,1.67
295,1.6
296,1.68
297,1.68
298,1.7
299,1.65
300,1.65
301,1.77
302,1.64
303,1.67
304,1.63
305,1.68
306,1.7
307,1.66
308,1.71
309,1.65
310,1.61
